Year,Month,Decimal Date,TSN,NSN,SSN,A,B,C,Date
1950,7,1950.538,87,52,35,84.2,49.3,34.9,1950-7
1950,8,1950.623,85.8,31.8,54,79,44.3,34.7,1950-8
1950,9,1950.706,59.4,26.3,33.1,73.8,40.2,33.6,1950-9
1950,10,1950.79,60.1,30.4,29.7,69.7,37.8,31.9,1950-10
1950,11,1950.873,59.5,31.6,27.9,68.6,37.5,31.1,1950-11
1950,12,1950.957,46.5,31.2,15.3,70.3,38.8,31.5,1950-12
1951,1,1951.042,61.5,24.6,36.9,70.9,39.5,31.4,1951-1
1951,2,1951.123,59.5,42.7,16.8,70.4,39.6,30.8,1951-2
1951,3,1951.203,54.8,31.6,23.2,70.3,38.8,31.5,1951-3
1951,4,1951.287,92,60.8,31.2,70.9,38.5,32.4,1951-4
1951,5,1951.37,111.2,70.5,40.7,71.5,38.4,33.1,1951-5
1951,6,1951.454,93.3,52.5,40.8,71.5,38,33.5,1951-6
1951,7,1951.537,71,28.6,42.4,70.6,38.4,32.2,1951-7
1951,8,1951.622,56.1,16.3,39.8,68.9,38,30.9,1951-8
1951,9,1951.706,72.8,33.6,39.2,65.2,35.8,29.4,1951-9
1951,10,1951.789,56.7,24,32.7,58.3,31.3,27,1951-10
1951,11,1951.873,53.4,27.9,25.5,51.2,26.5,24.7,1951-11
1951,12,1951.956,45.8,33.2,12.6,44.9,22.9,22,1951-12
1952,1,1952.041,42.8,35.5,7.3,41.7,21.8,19.9,1952-1
1952,2,1952.123,22.8,15,7.8,40,21.7,18.3,1952-2
1952,3,1952.205,21.8,13.4,8.4,38,20.6,17.4,1952-3
1952,4,1952.289,27.7,13.7,14,35.8,19.2,16.6,1952-4
1952,5,1952.372,22.7,8.8,13.9,33.4,17.7,15.7,1952-5
1952,6,1952.456,37.3,18.6,18.7,31.3,15.6,15.7,1952-6
1952,7,1952.539,38.8,15.2,23.6,30.6,14.1,16.5,1952-7
1952,8,1952.624,49,18.5,30.5,31,13.8,17.2,1952-8
1952,9,1952.708,33.5,12.5,21,29.8,13.2,16.6,1952-9
1952,10,1952.791,23.5,10.9,12.6,28.4,12.9,15.5,1952-10
1952,11,1952.875,25.9,12.5,13.4,27.8,13.1,14.7,1952-11
1952,12,1952.958,32.5,14.8,17.7,26.1,12.6,13.5,1952-12
1953,1,1953.043,24.3,12,12.3,23.8,11.9,11.9,1953-1
1953,2,1953.124,7.2,4.7,2.5,21.5,11.2,10.3,1953-2
1953,3,1953.205,13.3,10.3,3,20.1,10.8,9.3,1953-3
1953,4,1953.288,24.5,18,6.5,19.2,10.4,8.8,1953-4
1953,5,1953.372,12,6.2,5.8,17.9,9.7,8.2,1953-5
1953,6,1953.455,22.6,14,8.6,15.4,8.7,6.7,1953-6
1953,7,1953.539,15.6,6,9.6,13.3,7.6,5.7,1953-7
1953,8,1953.624,17.5,10.1,7.4,12.4,7,5.4,1953-8
1953,9,1953.707,15,6.1,8.9,11.3,6.1,5.2,1953-9
1953,10,1953.791,10.8,5.5,5.3,10.2,5.1,5.1,1953-10
1953,11,1953.874,1.7,1.1,0.6,8.8,4.1,4.7,1953-11
1953,12,1953.958,2.6,0,2.6,7.3,3.3,4,1953-12
1954,1,1954.042,0.3,0.1,0.2,5.5,2.6,2.9,1954-1
1954,2,1954.123,1.5,0.7,0.8,4.5,2.1,2.4,1954-2
1954,3,1954.204,10.1,3.6,6.5,3.9,1.8,2.1,1954-3
1954,4,1954.287,1.7,0.7,1,3.3,1.5,1.8,1954-4
1954,5,1954.371,0.8,0.5,0.3,3.6,1.7,1.9,1954-5
1954,6,1954.454,0.5,0.2,0.3,4.2,2.1,2.1,1954-6
1954,7,1954.538,5.1,4.6,0.5,5.1,2.6,2.5,1954-7
1954,8,1954.623,7.1,2.4,4.7,6.5,3.5,3,1954-8
1954,9,1954.706,2.3,1.5,0.8,7.6,4.4,3.2,1954-9
1954,10,1954.79,8.1,5.3,2.8,8.4,5,3.4,1954-10
1954,11,1954.873,9,3,6,9.5,6,3.5,1954-11
1954,12,1954.957,9.4,6,3.4,11.5,7.5,4,1954-12
1955,1,1955.042,22.2,12.7,9.5,13.8,8.8,5,1955-1
1955,2,1955.123,16.9,11.5,5.4,16.1,10.2,5.9,1955-2
1955,3,1955.203,10.1,7.5,2.6,19.2,12.2,7,1955-3
1955,4,1955.287,11.3,8.1,3.2,22.7,14.2,8.5,1955-4
1955,5,1955.37,24.7,22.5,2.2,27,16.5,10.5,1955-5
1955,6,1955.454,31.9,13.8,18.1,33.5,20.3,13.2,1955-6
1955,7,1955.537,28,17.5,10.5,38.2,23.1,15.1,1955-7
1955,8,1955.622,40.3,26,14.3,44.4,26.8,17.6,1955-8
1955,9,1955.706,47.6,27.4,20.2,53.3,32.5,20.8,1955-9
1955,10,1955.789,55.1,28.4,26.7,63.6,38.8,24.8,1955-10
1955,11,1955.873,83.9,49.6,34.3,72.5,44.2,28.3,1955-11
1955,12,1955.956,73.6,41.7,31.9,81,49.2,31.8,1955-12
1956,1,1956.041,75.8,50,25.8,90.1,53.9,36.2,1956-1
1956,2,1956.123,129.5,80.2,49.3,98.9,58.8,40.1,1956-2
1956,3,1956.205,117.8,76.2,41.6,107.7,63.5,44.2,1956-3
1956,4,1956.289,120.1,78.1,42,118.8,68.6,50.2,1956-4
1956,5,1956.372,126.3,70.5,55.8,126.4,71.1,55.3,1956-5
1956,6,1956.456,124,66.3,57.7,136.8,74.4,62.4,1956-6
1956,7,1956.539,134.2,78.1,56.1,146.5,78.1,68.4,1956-7
1956,8,1956.624,152.3,81.6,70.7,151.4,79,72.4,1956-8
1956,9,1956.708,179.6,86,93.6,154.1,78.4,75.7,1956-9
1956,10,1956.791,156.5,72.3,84.2,156.3,78.4,77.9,1956-10
1956,11,1956.875,201.3,76.4,124.9,160.2,79.9,80.3,1956-11
1956,12,1956.958,192.4,108.6,83.8,164.4,81,83.4,1956-12
1957,1,1957.043,165.1,79.1,86,170.2,81.8,88.4,1957-1
1957,2,1957.124,142.8,66.9,75.9,173,82.8,90.2,1957-2
1957,3,1957.205,149.1,78.6,70.5,173.3,83.2,90.1,1957-3
1957,4,1957.288,163.9,85.8,78.1,177.3,86.2,91.1,1957-4
1957,5,1957.372,176,77.9,98.1,181.8,89.7,92.1,1957-5
1957,6,1957.455,202.5,90.9,111.6,185.1,90.6,94.5,1957-6
1957,7,1957.539,183.3,95.5,87.8,191.5,92.7,98.8,1957-7
1957,8,1957.624,152.8,70,82.8,198.2,96.7,101.5,1957-8
1957,9,1957.707,237.7,121.5,116.2,201,98.6,102.4,1957-9
1957,10,1957.791,237.4,121.2,116.2,203,101.4,101.6,1957-10
1957,11,1957.874,222.9,106.1,116.8,204,105.5,98.5,1957-11
1957,12,1957.958,227.2,97.5,129.7,202.2,107.5,94.7,1957-12
1958,1,1958.042,215.9,115.1,100.8,201.5,109.3,92.2,1958-1
1958,2,1958.123,171.8,92.4,79.4,202.1,110.5,91.6,1958-2
1958,3,1958.204,196,124.1,71.9,200.4,109.2,91.2,1958-3
1958,4,1958.287,190,125.2,64.8,196.2,106.4,89.8,1958-4
1958,5,1958.371,171.5,102.1,69.4,192.5,104.6,87.9,1958-5
1958,6,1958.454,170.2,113.7,56.5,187.7,102.7,85,1958-6
1958,7,1958.538,190.1,101.9,88.2,184.6,101.5,83.1,1958-7
1958,8,1958.623,210.8,96.2,114.6,186.1,104.7,81.4,1958-8
1958,9,1958.706,187.1,92.3,94.8,184.2,106,78.2,1958-9
1958,10,1958.79,184.4,80.1,104.3,182.4,106.8,75.6,1958-10
1958,11,1958.873,169.4,80.3,89.1,182.6,108.6,74,1958-11
1958,12,1958.957,179.2,97,82.2,182.4,109.4,73,1958-12
1959,1,1959.042,219,161.5,57.5,179.2,110.1,69.1,1959-1
1959,2,1959.123,143.2,115.9,27.3,175.1,113.3,61.8,1959-2
1959,3,1959.203,179.1,139.8,39.3,175,115.9,59.1,1959-3
1959,4,1959.287,172.6,125.4,47.2,172.7,115.5,57.2,1959-4
1959,5,1959.37,175,119.8,55.2,167.6,112.8,54.8,1959-5
1959,6,1959.454,157.2,108.1,49.1,161.1,109.3,51.8,1959-6
1959,7,1959.537,165,135.3,29.7,155.5,105.4,50.1,1959-7
1959,8,1959.622,196.2,116.6,79.6,152.8,101.7,51.1,1959-8
1959,9,1959.706,140.3,64.2,76.1,147.9,97.1,50.8,1959-9
1959,10,1959.789,110.9,44.6,66.3,140.8,91.8,49,1959-10
